METRO,	CALIBRO,	MICROMETRO
14,		13.70,		13.94
14,		13.70,		13.94
14,		13.70,		13.93
14,		13.70,		13.70
13,		13.75,		13.71
14,		13.85,		13.92
14,		13.95,		13.93
14,		13.95,		13.93
14,		13.95,		13.85
14,		13.90,		13.92
14,		13.95,		13.84
14,		13.90,		13.89
14,		13.90,		13.84
14,		13.90,		13.91
14,		13.80,		13.91
14,		13.80,		13.93
14,		13.90,		13.92
14,		13.95,		13.90
14,		13.90,		13.79
14,		13.85,		13.94
14,		13.95,		13.79
14,		13.90,		13.91
14,		13.85,		13.74
14,		13.90,		13.70
14,		13.90,		13.70
