METRO,CALIBRO,MICROMETRO
14,13.6,13.72
14,13.7,13.76
14,13.75,13.73
14,13.75,13.95
14,13.75,13.86
14,13.75,13.79
14,13.9,13.94
14,13.9,13.94
14,13.9,13.92
14,13.9,13.94
14,13.9,13.94
14,13.9,13.94
14,13.9,13.85
14,13.95,13.96
14,13.95,13.95
14,13.95,13.92
14,13.95,13.86
14,13.95,13.93
14,13.95,13.96
14,13.95,13.91
14,14,13.93
14,14,13.93
14,14,13.91
14,14,13.75
14,14,13.71
13,13.65,13.67
13,13.7,13.69
13,13.7,13.7
13,13.7,13.71
13,13.7,13.72
13,13.75,13.75
13,13.8,13.75
13,13.8,13.82
13,13.8,13.84
14,13.85,13.85
14,13.9,13.86
14,13.9,13.9
14,13.9,13.91
14,13.9,13.91
14,13.9,13.92
14,13.9,13.92
14,13.9,13.92
14,13.9,13.93
14,13.9,13.93
14,13.9,13.93
14,13.95,13.94
14,13.95,13.95
14,13.95,13.95
14,13.95,13.95
14,13.95,13.96
14,13.7,13.7
14,13.7,13.72
14,13.7,13.73
14,13.75,13.73
14,13.8,13.79
14,13.9,13.91
14,13.8,13.83
14,13.85,13.86
14,13.9,13.92
14,13.85,13.88
14,13.9,13.89
14,13.9,13.89
14,13.8,13.83
14,13.85,13.84
14,13.9,13.94
14,13.85,13.84
14,13.95,13.96
14,13.85,13.87
14,13.85,13.83
14,13.9,13.93
14,13.8,13.73
14,13.9,13.92
14,13.9,13.91
14,13.8,13.79
13,13.75,13.77
13,13.75,13.75
13,13.7,13.7
13,13.7,13.7
13,13.7,13.73
14,13.8,13.86
14,13.8,13.87
14,13.8,13.87
14,13.9,13.89
14,13.75,13.8
14,13.95,13.93
14,13.8,13.8
14,13.85,13.83
14,13.9,13.93
14,13.95,13.96
14,13.85,13.84
14,13.95,13.93
14,13.9,13.93
14,13.8,13.79
14,13.9,13.92
14,13.8,13.8
14,13.9,13.9
14,13.9,13.86
14,13.95,13.94
14,13.95,13.96
14,13.7,13.94
14,13.7,13.94
14,13.7,13.93
14,13.7,13.7
13,13.75,13.71
14,13.85,13.92
14,13.95,13.93
14,13.95,13.93
14,13.95,13.85
14,13.9,13.92
14,13.95,13.84
14,13.9,13.89
14,13.9,13.84
14,13.9,13.91
14,13.8,13.91
14,13.8,13.93
14,13.9,13.92
14,13.95,13.9
14,13.9,13.79
14,13.85,13.94
14,13.95,13.79
14,13.9,13.91
14,13.85,13.74
14,13.9,13.7
14,13.9,13.7
13,14,13.93
13,14,13.92
13,13.9,13.92
13,13.7,13.9
13,13.95,13.92
13,13.8,13.88
13,13.85,13.87
13,13.75,13.72
13,13.85,13.9
13,13.65,13.7
12,13.75,13.73
12,13.8,13.76
12,13.75,13.66
13,13.9,13.88
13,13.85,13.93
13,13.85,13.88
13,14,13.92
13,13.85,13.87
13,14,13.94
13,13.9,13.86
13,14,13.92
13,13.9,13.95
13,13.85,13.91
13,13.8,13.87
14,13.7,13.78
14,13.7,13.7
14,13.7,13.72
14,13.7,13.68
14,13.7,13.7
14,13.75,13.87
14,13.75,13.87
14,13.75,13.87
14,13.8,13.89
14,13.8,13.81
14,13.8,13.82
14,13.8,13.76
14,13.85,13.67
14,13.85,13.85
14,13.85,13.84
14,13.85,13.85
14,13.85,13.83
14,13.85,13.84
14,13.85,13.84
14,13.85,13.73
14,13.85,13.77
14,13.9,13.71
14,13.9,13.83
14,13.9,13.81
14,13.9,13.82
13,13.75,13.7
14,13.8,13.69
13,13.8,13.7
14,13.9,13.88
14,13.85,13.76
14,13.7,13.84
13,13.9,13.87
13,13.75,13.85
13,13.9,13.77
14,13.85,13.82
13,13.85,13.76
13,13.85,13.65
14,13.85,13.77
14,13.95,13.67
14,13.85,13.83
14,13.9,13.72
14,13.9,13.73
13,13.9,13.88
13,13.9,13.9
14,13.95,13.8
13,13.85,13.87
13,13.8,13.86
13,13.85,13.87
13,13.95,13.79
13,13.9,13.78
